topic,question,answer
AROYA Cruises,"What's included in an AROYA cruise fare?","<p>Your AROYA cruise fare includes:</p><ul><li><strong>🛏️ Cabin accommodation</strong> for selected category</li><li><strong>🍽️ All main dining meals</strong> (breakfast, lunch, dinner at main restaurants)</li><li><strong>🎭 Onboard entertainment</strong> (shows, live music, performances)</li><li><strong>🏊 Use of pools, jacuzzis, and fitness center</strong></li><li><strong>🧒 Kids club facilities</strong> and supervised activities</li><li><strong>⚓ Port taxes and fees</strong></li><li><strong>🍨 Basic beverages</strong> (water, tea, coffee, select juices at dining venues)</li></ul><p><em>Note: Specialty restaurants, alcoholic beverages, shore excursions, WiFi, and gratuities are typically additional unless specified in your fare type.</em></p>"
AROYA Cruises,"What's NOT included in the cruise fare?","<p>The following are generally <strong>not included</strong> in your base cruise fare:</p><ul><li><strong>💰 Gratuities/service charges</strong> (auto-added daily, can be pre-paid)</li><li><strong>🍷 Alcoholic beverages</strong> and premium drinks</li><li><strong>🍽️ Specialty restaurant cover charges</strong></li><li><strong>📶 WiFi/internet packages</strong> (limited free WiFi may be available in public areas)</li><li><strong>🏖️ Shore excursions and tours</strong></li><li><strong>💆 Spa treatments and salon services</strong></li><li><strong>🛒 Personal shopping</strong> onboard boutiques</li><li><strong>📋 Visa fees</strong> (if applicable for embarkation/disembarkation ports)</li><li><strong>✈️ Flights to/from port of embarkation</strong></li><li><strong>🏨 Pre- or post-cruise hotel stays</strong></li></ul>"
AROYA Cruises,"What cabin types are available?","<p>AROYA offers a range of cabin categories to suit different budgets and preferences:</p><table class=""table""><tr><th>Cabin Type</th><th>Features</th><th>Best For</th></tr><tr><td><strong>Interior</strong></td><td>No window, most affordable</td><td>Budget-conscious travellers who spend most time exploring ship</td></tr><tr><td><strong>Ocean View</strong></td><td>Window/porthole, natural light</td><td>Those who like daylight but don't need balcony</td></tr><tr><td><strong>Balcony</strong></td><td>Private veranda, outdoor space</td><td>Couples, relaxation seekers, scenic cruisers</td></tr><tr><td><strong>Suite</strong></td><td>Extra space, premium amenities, priority boarding</td><td>Special occasions, families, luxury travellers</td></tr></table><p><strong>For MY/SG travellers:</strong> Balcony cabins are very popular for Red Sea cruises - great for morning coffee with ocean views!</p>"
AROYA Cruises,"Is the cruise halal/Muslim-friendly?","<p><strong>Yes! AROYA Cruises is designed with Muslim travellers in mind:</strong></p><ul><li><strong>🍽️ Halal-certified dining:</strong> All meat served is 100% halal</li><li><strong>🕌 Prayer facilities:</strong> Designated prayer rooms on board</li><li><strong>📅 Prayer times:</strong> Announced and accommodated in itinerary</li><li><strong>🚫 No alcohol served publicly:</strong> Family-friendly environment</li><li><strong>👗 Modest entertainment:</strong> Respectful shows and activities suitable for all ages</li><li><strong>🍷 Alcohol-free options:</strong> Non-alcoholic beverages widely available</li></ul><p>This makes AROYA particularly popular among Malaysian, Indonesian, and Middle Eastern travellers seeking a cruise experience aligned with their values.</p>"
AROYA Cruises,"What dining options are available onboard?","<p>AROYA offers diverse dining experiences:</p><h4>Main Dining (Included):</h4><ul><li><strong>Main Restaurant:</strong> Multi-cuisine buffet and à la carte (international, Arabic, Asian fusion)</li><li><strong>Casual Venues:</strong> Poolside grill, café, food court</li></ul><h4>Specialty Restaurants (Additional Cost):</h4><ul><li><strong>Arabic/Middle Eastern cuisine</strong></li><li><strong>Asian fusion</strong> (often includes Malaysian/Singaporean-inspired dishes)</li><li><strong>Italian restaurant</strong></li><li><strong>Steakhouse or seafood grill</strong></li></ul><p><strong>For Muslim travellers:</strong> All restaurants serve halal food. Menus clearly indicate ingredients. Staff trained on dietary requirements.</p><p><em>Tip: Reserve specialty restaurants early in the cruise - popular spots fill up fast!</em></p>"
AROYA Cruises,"What shore excursions are available?","<p>Each port of call offers exciting shore excursions:</p><p><strong>Popular AROYA Cruise Routes & Excursions:</strong></p><h4>Red Sea Cruises (from Jeddah):</h4><ul><li>🏛️ Historical Jeddah (Al-Balad UNESCO site)</li><li>🤿 Snorkeling/diving at pristine coral reefs</li><li>🏜️ Desert safaris and Bedouin experiences</li><li>🕌 Religious tourism (Makkah/Madinah extensions available)</li></ul><h4>Arabian Gulf Cruises:</h4><ul><li>🏙️ City tours (Dubai, Abu Dhabi, Doha, Manama)</li><li>🏛️ Cultural heritage sites</li><li>🛍️ Shopping excursions to traditional souks and modern malls</li><li>🏖️ Beach and island visits</li></ul><p><strong>Booking:</strong> Excursions can be pre-booked online or via the AROYA app. Some available for onboard booking (subject to availability).</p><p><em>Advice: Book popular excursions early - they sell out quickly!</em></p>"
AROYA Cruises,"What's the cancellation and refund policy?","<p>AROYA's cancellation policy (typical terms):</p><table class=""table""><tr><th>Cancellation Timing</th><th>Refund Amount</th></tr><tr><td><strong>60+ days before sailing</strong></td><td>Full refund (minus admin fee)</td></tr><tr><td><strong>30-59 days before sailing</strong></td><td>50% refund of total fare</td></tr><tr><td><strong>15-29 days before sailing</strong></td><td>25% refund of total fare</td></tr><tr><td><strong>Less than 15 days</strong></td><td>No refund</td></tr></table><div class=""alert alert-warning""><strong>Important Notes:</strong><ul><li>Deposit amounts may be non-refundable regardless of timing</li><li>Travel insurance strongly recommended to cover cancellation costs</li><li>Force majeure (natural disasters, pandemics) may have different terms</li><li>Name changes/transfers may be permitted (fees apply)</li></ul></div><p><em>Always check your specific booking's terms - policies may vary by fare type or promotion.</em></p>"
AROYA Cruises,"What payment methods are accepted?","<p>AROYA accepts multiple payment methods for your convenience:</p><ul><li><strong>💳 Credit/Debit Cards:</strong> Visa, Mastercard, American Express</li><li><strong>🏦 Bank Transfer:</strong> Direct bank payment (for full payments)</li><li><strong>💰 Installment Plans:</strong> Available for select bookings (check promotions)</li></ul><p><strong>For Malaysian/Singaporean travellers:</strong></p><ul><li>Cards issued in Malaysia/Singapore are accepted (no foreign transaction fees from our end)</li><li>Currency will be charged in SAR (Saudi Riyal) or USD - check with your bank about conversion rates</li><li>Consider using cards with zero forex markup for better exchange rates</li></ul><p><strong>Deposit requirement:</strong> Typically 20-30% due at booking, balance 60-90 days before sailing.</p>"
AROYA Cruises,"Are children allowed? What about kids cruising free?","<p><strong>Families are very welcome on AROYA! 👨‍👩‍👧‍👦</strong></p><h4>Kids Pricing Policy:</h4><ul><li><strong>Infants (under 2 years):</strong> Often cruise free (pay only port taxes) - must share bed with parents</li><li><strong>Children (2-11 years):</strong> Discounted rates available (sometimes cruise free on promotions!)</li><li><strong>Teens (12-17 years):</strong> May qualify for reduced rates or adult pricing depending on promotion</li><li><strong>Adults (18+ years):</strong> Standard fare applies</li></ul><h4>Kids Facilities Onboard:</h4><ul><li><strong>🎨 Kids Club</strong> with supervised activities and games</li><li><strong>🏊 Children's pool area</strong> (shallower, safer)</li><li><strong>🍕 Kids menu</strong> at restaurants (child-friendly portions and options)</li><li><strong>🛏️ Crib/rollaway beds</strong> available (request when booking)</li></ul><p><em>Tip: Book connecting cabins or suites for families needing extra space!</em></p>"
AROYA Cruises,"What should I pack for my cruise?","<p><strong>Essential Packing List for AROYA Cruise:</strong></p><h4>📋 Documents & Essentials:</h4><ul><li>Passport (valid 6+ months beyond travel dates)</li><li>Visas (if required - check port countries)</li><li>Cruise boarding documents (printed or digital)</li><li>Travel insurance documents</li><li>Credit/debit cards and cash (local currency for ports)</li></ul><h4>👔 Clothing (Casual Resort Wear):</h4><ul><li>Light, breathable fabrics (cotton, linen)</li><li>Swimwear (multiple sets)</li><li>Cover-ups for pool areas</li><li>Comfortable walking shoes</li><li>1-2 ""smart casual"" outfits for dinner</li><li>Hijab/modest swimwear (for Muslim ladies - many passengers wear these)</li><li>Light jacket (air-con can be cold indoors)</li></ul><h4>🧴 Toiletries & Health:</h4><ul><li>Toiletries (ship provides basics, bring your preferred brands)</li><li>Sunscreen (high SPF - Middle East sun is strong!)</li><li>Medications + prescriptions</li><li>Motion sickness tablets (if prone to seasickness - though Red Sea is usually calm)</li></ul><h4>📱 Electronics:</h4><ul><li>Phone + charger</li><li>Power bank</li><li>Camera (for those stunning ocean views!)</li></ul><p><em>For Muslim travellers: Prayer mat, prayer clothing, small Quran/app if desired.</em></p>"
AROYA Cruises,"Is WiFi available onboard? How much does it cost?","<p><strong>Yes, internet connectivity is available on AROYA ships:</strong></p><h4>WiFi Options:</h4><table class=""table""><tr><th>Package</th><th>Speed/Usage</th><th>Price (Estimated)</th></tr><tr><td><strong>Basic Social</strong></td><td>Text messaging, basic social media</td><td>$10-15/day</td></tr><tr><td><strong>Premium</strong></td><td>Streaming, video calls, browsing</td><td>$20-30/day</td></tr><tr><td><strong>Voyage Package</strong></td><td>Unlimited for entire cruise</td><td>$100-150 (varies by length)</td></tr></table><p><strong>Important Notes:</strong></p><ul><li>📶 Satellite-based internet (speeds slower than land broadband)</li><li>📍 Best connectivity near ports/coastal areas; slower in open sea</li><li>📱 Free WiFi may be available in limited public areas (lobby, etc.)</li><li>💡 <strong>Money-saving tip:</strong> Most ports have good cellular coverage - wait until docked to upload photos, check emails, etc.</li></ul><p><em>For MY/SG travellers: Consider getting a roaming data plan or local SIM at ports instead of buying expensive ship WiFi.</em></p>"
AROYA Cruises,"What currency is used onboard? Can I use RM/SGD?","<p><strong>Onboard Currency:</strong></p><ul><li><strong>Primary:</strong> Saudi Riyal (SAR) or US Dollar (USD) - depending on ship's registry</li><li><strong>Credit cards accepted:</strong> Visa, Mastercard, Amex (no extra fee)</li></ul><p><strong>Using Malaysian Ringgit (RM) / Singapore Dollar (SGD):</strong></p><ul><li>❌ Cash in RM/SGD generally <strong>NOT accepted</strong> onboard</li><li>✅ Your credit card will handle currency conversion automatically</li><li>💱 Currency exchange available onboard (rates less favorable than banks)</li></ul><p><strong>Recommendations for MY/SG Travellers:</strong></p><ol><li><strong>Use credit card</strong> for onboard purchases (let your bank convert at competitive rates)</li><li><strong>Bring small USD cash</strong> for tips, small purchases at ports</li><li><strong>Exchange currency at airports/banks</strong> before boarding (better rates than ship)</li><li><strong>Use ATMs at ports</strong> for local currency during shore excursions</li></ol><p><em>Pro tip: Notify your bank of overseas travel dates to avoid card blocks!</em></p>"
AROYA Cruises,"What about tipping/gratuities on the cruise?","<p><strong>Gratuities (Tips) Overview:</strong></p><h4>Auto-Gratuity System:</h4><p>Most cruise lines including AROYA add <strong>daily automatic gratuities</strong> to your onboard account:</p><ul><li><strong>Standard rate:</strong> Approximately $15-20 USD per person, per day</li><li>Covers: Room steward, dining room staff, kitchen crew</li><li><strong>Can be pre-paid</strong> at time of booking (recommended!)</li><li>Can be adjusted at guest services (if service was exceptional or poor)</li></ul><h4>Additional Tipping:</h4><ul><li><strong>Spa/salon services:</strong> 15-20%</li><li><strong>Bar beverages:</strong> 15% auto-added (sometimes)</li><li><strong>Shore excursion guides:</strong> Optional, at your discretion</li><li><strong>Concierge/butler (suites):</strong> Customary to tip for special requests</li></ul><h4>For Budget-Conscious Travellers:</h4><ul><li>Pre-pay gratuities to spread the cost</li><li>Some fare types include prepaid gratuities - look for these deals!</li></ul><p><em>Cultural note: While tipping isn't customary in Malaysia/Singapore, it's expected on international cruises as crew rely on tips as significant income.</em></p>"
AROYA Cruises,"Do I need a visa for an AROYA cruise?","<p><strong>Visa requirements depend on your nationality and the cruise itinerary:</strong></p><h4>For Malaysian Passport Holders 🇲🇾:</h4><ul><li><strong>Saudi Arabia:</strong> Visa required (e-visa or visa-on-arrival for Umrah/Hajj pilgrims)</li><li><strong>UAE (Dubai/Abu Dhabi):</strong> Visa-free for 90 days ✅</li><li><strong>Qatar:</strong> Visa-free for 30 days ✅</li><li><strong>Bahrain:</strong> Visa may be required - check latest regulations</li><li><strong>Oman:</strong> Visa may be required - check latest regulations</li><li><strong>Egypt (if Red Sea cruise stops there):</strong> Visa required (obtainable on arrival at certain ports)</li></ul><h4>For Singaporean Passport Holders 🇸🇬:</h4><ul><li>Generally similar to Malaysians, but always verify current requirements</li><li>Many GCC countries now offer e-visas or visa-on-arrival for SG citizens</li></ul><p><strong>Important:</strong></p><ul><li>✅ AROYA can provide <strong>visa support letters</strong> for booked passengers</li><li>📋 <strong>Passport validity:</strong> Minimum 6 months beyond travel completion date</li><li>🔄 Regulations change frequently - <strong>always check latest requirements</strong> before booking</li><li>💡 For religious tourism (Umrah), special visa procedures apply</li></ul><p><em>Recommendation: Use a reliable visa agency or consult the embassy/consulate for your specific situation.</em></p>"
AROYA Cruises,"What medical facilities are available onboard?","<p><strong>Healthcare & Medical Services on AROYA:</strong></p><h4>Medical Center:</h4><ul><li><strong>👨‍⚕️ Qualified doctor and nurses</strong> onboard 24/7</li><li><strong>💊 Pharmacy</strong> stocked with common medications</li><li><strong>🩺 Basic diagnostic equipment</strong> (BP monitor, glucose testing, etc.)</li><li><strong>🚑 Emergency response capability</strong> for medical situations</li></ul><h4>Services Available:</h4><ul><li>Treatment for minor illnesses (cold, fever, stomach issues)</li><li>Injury care (cuts, sprains, burns)</li><li>Prescription medications (additional cost)</li><li>Injection/IV fluids (if needed)</li><li>Medical evacuation coordination (serious cases - to nearest port hospital)</li></ul><h4>Costs:</h4><ul><li><strong>Consultations and treatments are chargeable</strong> (not included in cruise fare)</li><li>Typical consultation: $50-150 USD</li><li>Medications: Varies (similar to private clinic prices)</li><li><strong>Travel insurance typically covers medical expenses</strong> - file a claim after cruise</li></ul><h4>Pre-Cruise Recommendations:</h4><ul><li>Bring sufficient supply of <strong>regular prescription medications</strong> (plus extras in case of delays)</li><li>Carry a <strong>doctor's letter</strong> for prescribed medications (especially controlled substances)</li><li>Pack a <small first-aid kit</strong> (band-aids, antiseptic, pain relievers, motion sickness meds)</li><li>Inform AROYA of any <strong>medical conditions or dietary restrictions</strong> when booking</li></ul><p><em>For MY/SG travellers: If you have chronic conditions, consider a pre-cruise health check-up and carry a summary letter from your doctor in English.</em></p>"
AROYA Cruises,"What if I have dietary restrictions or food allergies?","<p><strong>AROYA accommodates various dietary needs:</strong></p><h4>Special Diets We Can Accommodate:</h4><ul><li><strong>🥬 Halal</strong> (standard across all restaurants - certified)</li><li><strong>🌱 Vegetarian / Vegan</strong></li><li><strong>🌾 Gluten-free</strong></li><li><strong>🥛 Lactose-free / Dairy-free</strong></li><li><strong>🚫 Nut allergies</strong></li><li><strong>🦐 Shellfish/seafood allergies</strong></li><li><strong>🍬 Diabetic (low-sugar options)</strong></li><li><strong>🌶️ Low-spice or spice-free</strong> (suitable for those who prefer mild food)</li></ul><h4>How to Request Special Meals:</h4><ol><li><strong>Inform us at time of booking</strong> (best option)</li><li><strong>Re-confirm 30 days before sailing</strong> via guest portal or call center</li><li><strong>Speak to restaurant manager</strong> upon embarkation for introduction to chef/dietitian</li><li><strong>Remind server</strong> at each meal about your restrictions</li></ol><p><strong>For Muslim Travellers (Additional Assurance):</strong></p><ul><li>All meat is sourced from <strong>certified halal suppliers</strong></li><li>Kitchen has <strong>separate preparation areas</strong> for halal food</li><li>No pork/lard/alcohol used in any kitchen (family-friendly environment)</li><li>Staff trained on <strong>cross-contamination prevention</strong></li></ul><p><em>For severe allergies: We recommend carrying an epinephrine auto-injector (EpiPen) and medic alert bracelet. Inform our medical team upon boarding.</em></p>"
